Geo_Code,Prov_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
1,Canada,Occupied private dwelling characteristics,   Apartments in buildings with five or more storeys - as a % of total occupied private dwellings,,8.9,,,,,
1,Canada,Occupied private dwelling characteristics,   Other dwellings - as a % of total occupied private dwellings,15,1.6,,,,,
1,Canada,Occupied private dwelling characteristics,Number of owned dwellings,16,8509780,,,,,
1,Canada,Occupied private dwelling characteristics,Number of rented dwellings,17,3878500,,,,,
1,Canada,Occupied private dwelling characteristics,Number of dwellings constructed before 1986,,8610600,,,,,
1,Canada,Occupied private dwelling characteristics,Number of dwellings constructed between 1986 and 2006,18,3826870,,,,,
1,Canada,Occupied private dwelling characteristics,Dwellings requiring major repair - as a % of total occupied private dwellings,,7.5,,,,,
1,Canada,Occupied private dwelling characteristics,Average number of rooms per dwelling,19,6.4,,,,,
1,Canada,Occupied private dwelling characteristics,Dwellings with more than one person per room - as a % of total occupied private dwellings,19,1.5,,,,,
1,Canada,Occupied private dwelling characteristics,Average value of owned dwelling ($),20,263369,,,,,
1,Canada,Selected family characteristics,Total number of census families,21,8896840,,,,,
1,Canada,Selected family characteristics,   Number of married-couple families,22,6105910,,,,,
1,Canada,Selected family characteristics,   Number of common-law-couple families,23,1376870,,,,,
1,Canada,Selected family characteristics,   Number of lone-parent families,,1414065,,,,,
1,Canada,Selected family characteristics,      Number of female lone-parent families,,1132290,,,,,
1,Canada,Selected family characteristics,      Number of male lone-parent families,,281775,,,,,
1,Canada,Selected family characteristics,Average number of persons in all census families,,2.9,,,,,
1,Canada,Selected family characteristics,   Average number of persons in married-couple families,22,3.1,,,,,
1,Canada,Selected family characteristics,   Average number of persons in common-law-couple families,23,2.8,,,,,
1,Canada,Selected family characteristics,   Average number of persons in lone-parent families,,2.5,,,,,
1,Canada,Selected family characteristics,      Average number of persons in female lone-parent families,,2.5,,,,,
1,Canada,Selected family characteristics,      Average number of persons in male lone-parent families,,2.4,,,,,
1,Canada,Selected family characteristics,Median income in 2005 - All census families ($),24,63866,,,,,
1,Canada,Selected family characteristics,   Median income in 2005 - Married-couple families ($),22,71665,,,,,
1,Canada,Selected family characteristics,   Median income in 2005 - Common-law-couple families ($),23,63811,,,,,
1,Canada,Selected family characteristics,   Median income in 2005 - Lone-parent families ($),,36465,,,,,
1,Canada,Selected family characteristics,      Median income in 2005 - Female lone-parent families ($),,34350,,,,,
1,Canada,Selected family characteristics,      Median income in 2005 - Male lone-parent families ($),,47153,,,,,
1,Canada,Selected family characteristics,Median after-tax income in 2005 - All census families ($),24,55111,,,,,
1,Canada,Selected family characteristics,   Median after-tax income in 2005 - Married-couple families ($),22,61221,,,,,
1,Canada,Selected family characteristics,   Median after-tax income in 2005 - Common-law-couple families ($),,54815,,,,,
1,Canada,Selected family characteristics,   Median after-tax income in 2005 - Lone-parent families ($),,34205,,,,,
1,Canada,Selected family characteristics,      Median after-tax income in 2005 - Female lone-parent families ($),,32609,,,,,
1,Canada,Selected family characteristics,      Median after-tax income in 2005 - Male lone-parent families ($),,41661,,,,,
1,Canada,Selected household characteristics,Total private households,25,12437470,,,,,
1,Canada,Selected household characteristics,   Households containing a couple (married or common-law) with children,26,3543605,,,,,
1,Canada,Selected household characteristics,   Households containing a couple (married or common-law) without children,27,3601315,,,,,
1,Canada,Selected household characteristics,   One-person households,,3327050,,,,,
1,Canada,Selected household characteristics,   Other household types,28,1965495,,,,,
1,Canada,Selected household characteristics,Median income in 2005 - All private households ($),29,53634,,,,,
1,Canada,Selected household characteristics,   Median income in 2005 - Couple households with children ($),26,82156,,,,,
1,Canada,Selected household characteristics,   Median income in 2005 - Couple households without children ($),27,62503,,,,,
1,Canada,Selected household characteristics,   Median income in 2005 - One-person households ($),,26720,,,,,
1,Canada,Selected household characteristics,   Median income in 2005 - Other household types ($),28,46347,,,,,
1,Canada,Selected household characteristics,Median after-tax income in 2005 - All private households ($),29,46584,,,,,
1,Canada,Selected household characteristics,   Median after-tax income in 2005 - Couple households with children ($),26,69711,,,,,
1,Canada,Selected household characteristics,   Median after-tax income in 2005 - Couple households without children ($),27,53667,,,,,
1,Canada,Selected household characteristics,   Median after-tax income in 2005 - One-person households ($),,23888,,,,,
1,Canada,Selected household characteristics,   Median after-tax income in 2005 - Other household types ($),28,42053,,,,,
1,Canada,Selected household characteristics,Median monthly payments for rented dwellings ($),30,671,,,,,
1,Canada,Selected household characteristics,Median monthly payments for owner-occupied dwellings ($),31,839,,,,,
1,Canada,Selected household characteristics,Average household size,,2.5,,,,,
1,Canada,Mother tongue,Total population,32,31241030,,15326265,,15914760,
1,Canada,Mother tongue,   English only,,17882780,,8833105,,9049665,
1,Canada,Mother tongue,   French only,,6817650,,3325530,,3492125,
1,Canada,Mother tongue,   English and French,,98630,,46765,,51860,
1,Canada,Mother tongue,   Other language(s),33,6441975,,3120865,,3321105,
1,Canada,Knowledge of official languages,Total population,34,31241030,,15326265,,15914760,
1,Canada,Knowledge of official languages,   English only,,21129945,,10507185,,10622755,
1,Canada,Knowledge of official languages,   French only,,4141850,,1915265,,2226585,
1,Canada,Knowledge of official languages,   English and French,,5448850,,2698870,,2749980,
1,Canada,Knowledge of official languages,   Neither English nor French,,520385,,204945,,315435,
1,Canada,Language spoken most often at home,Total population,35,31241030,,15326265,,15914760,
1,Canada,Language spoken most often at home,   English,,20584775,,10133105,,10451665,
1,Canada,Language spoken most often at home,   French,,6608120,,3233760,,3374360,
1,Canada,Language spoken most often at home,   Non-official language,,3472130,,1677395,,1794735,
1,Canada,Language spoken most often at home,   English and French,,94060,,44390,,49670,
1,Canada,Language spoken most often at home,   English and non-official language,,406455,,200500,,205960,
1,Canada,Language spoken most often at home,   French and non-official language,,58885,,28905,,29985,
1,Canada,Language spoken most often at home,"   English, French and non-official language",,16600,,8215,,8380,
1,Canada,Immigrant status and period of immigration,Total population,36,31241030,,15326265,,15914760,
1,Canada,Immigrant status and period of immigration,   Non-immigrants,37,24788725,,12228975,,12559745,
1,Canada,Immigrant status and period of immigration,   Immigrants,38,6186950,,2964160,,3222790,
1,Canada,Immigrant status and period of immigration,      Before 1991,,3408420,,1642190,,1766225,
1,Canada,Immigrant status and period of immigration,      1991 to 2000,,1668550,,791775,,876775,
1,Canada,Immigrant status and period of immigration,      2001 to 2006,39,1109980,,530195,,579790,
1,Canada,Immigrant status and period of immigration,   Non-permanent residents,40,265355,,133135,,132225,
1,Canada,Citizenship,Total population,41,31241030,,15326265,,15914760,
1,Canada,Citizenship,   Canadian citizens,,29480165,,14492990,,14987175,
1,Canada,Citizenship,      Canadian citizens under age 18,,6604285,,3388910,,3215375,
1,Canada,Citizenship,      Canadian citizens age 18 and over,,22875880,,11104080,,11771800,
1,Canada,Citizenship,   Not Canadian citizens,42,1760865,,833280,,927585,
1,Canada,Generation status,Total population 15 years and over,43,25664220,,12470785,,13193440,
1,Canada,Generation status,   1st generation,44,6124560,,2933875,,3190690,
1,Canada,Generation status,   2nd generation,45,4006420,,1948820,,2057600,
1,Canada,Generation status,   3rd generation or more,46,15533240,,7588095,,7945145,
1,Canada,Mobility status - Place of residence 1 year ago,Total population 1 year and over,47,30897210,,15151040,,15746170,
1,Canada,Mobility status - Place of residence 1 year ago,   Lived at the same address 1 year ago,,26534115,,13005260,,13528855,
1,Canada,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses within the same census subdivision (municipality)",,2554260,,1256090,,1298165,
1,Canada,Mobility status - Place of residence 1 year ago,"   Lived within the same province or territory 1 year ago, but changed addresses from another census subdivision (municipality) within the same province or territory",,1221560,,598130,,623430,
1,Canada,Mobility status - Place of residence 1 year ago,   Lived in a different province or territory 1 year ago,,289745,,147230,,142510,
1,Canada,Mobility status - Place of residence 1 year ago,   Lived in a different country 1 year ago,,297530,,144325,,153205,
1,Canada,Mobility status - Place of residence 5 years ago,Total population 5 years and over,48,29544485,,14458615,,15085865,
1,Canada,Mobility status - Place of residence 5 years ago,   Lived at the same address 5 years ago,,17457170,,8550360,,8906805,
1,Canada,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses within the same census subdivision (municipality)",,6507905,,3181160,,3326740,
1,Canada,Mobility status - Place of residence 5 years ago,"   Lived within the same province or territory 5 years ago, but changed addresses from another census subdivision (municipality) within the same province or territory",,3566790,,1737165,,1829630,
1,Canada,Mobility status - Place of residence 5 years ago,   Lived in a different province or territory 5 years ago,,852580,,425650,,426930,
1,Canada,Mobility status - Place of residence 5 years ago,   Lived in a different country 5 years ago,,1160040,,564280,,595755,
1,Canada,Aboriginal population,Total Aboriginal and non-Aboriginal identity population,49,31241030,,15326265,,15914765,
1,Canada,Aboriginal population,   Aboriginal identity population,50,1172785,,572095,,600695,
1,Canada,Aboriginal population,   Non-Aboriginal identity population,,30068240,,14754175,,15314065,
1,Canada,Educational attainment,Total population 15 years and over,51,25664220,,12470785,,13193440,
1,Canada,Educational attainment,"   No certificate, diploma or degree",,6098325,,3004625,,3093705,
1,Canada,Educational attainment,   High school certificate or equivalent,52,6553425,,3032870,,3520555,
1,Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,,2785420,,1778080,,1007335,
1,Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",53,4435135,,1906335,,2528800,
1,Canada,Educational attainment,   University certificate or diploma below the bachelor level,,1136145,,479095,,657055,
1,Canada,Educational attainment,"   University certificate, diploma or degree",,4655770,,2269785,,2385980,
1,Canada,Educational attainment,Total population aged 15 to 24,54,4207810,,2145570,,2062245,
1,Canada,Educational attainment,"   No certificate, diploma or degree",,1679015,,909280,,769735,
1,Canada,Educational attainment,   High school certificate or equivalent,55,1528010,,781710,,746300,
1,Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,,185170,,113110,,72060,
1,Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",56,458380,,201135,,257240,
1,Canada,Educational attainment,   University certificate or diploma below the bachelor level,,87420,,38935,,48490,
1,Canada,Educational attainment,"   University certificate, diploma or degree",,269810,,101395,,168415,
1,Canada,Educational attainment,Total population aged 25 to 34,57,3987075,,1947470,,2039605,
1,Canada,Educational attainment,"   No certificate, diploma or degree",,433940,,247210,,186730,
1,Canada,Educational attainment,   High school certificate or equivalent,58,897830,,486240,,411595,
1,Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,,416045,,253705,,162340,
1,Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",59,906155,,398245,,507915,
1,Canada,Educational attainment,   University certificate or diploma below the bachelor level,,181350,,79935,,101415,
1,Canada,Educational attainment,"   University certificate, diploma or degree",,1151750,,482140,,669610,
1,Canada,Educational attainment,Total population aged 35 to 64,60,13395040,,6564035,,6831000,
1,Canada,Educational attainment,"   No certificate, diploma or degree",,2249565,,1146125,,1103445,
1,Canada,Educational attainment,   High school certificate or equivalent,61,3258905,,1454880,,1804025,
1,Canada,Educational attainment,   Apprenticeship or trades certificate or diploma,,1739965,,1106090,,633875,
1,Canada,Educational attainment,"   College, CEGEP or other non-university certificate or diploma",62,2627220,,1127815,,1499405,
1,Canada,Educational attainment,   University certificate or diploma below the bachelor level,,685385,,290210,,395180,
1,Canada,Educational attainment,"   University certificate, diploma or degree",,2833995,,1438915,,1395080,
1,Canada,Major field of study,Total population 15 years and over,63,25664220,,12470785,,13193440,
1,Canada,Major field of study,"   No postsecondary certificate, diploma or degree",,12651750,,6037490,,6614260,
1,Canada,Major field of study,   Education,,994665,,249000,,745660,
1,Canada,Major field of study,"   Visual and performing arts, and communications technologies",,481190,,222755,,258435,
1,Canada,Major field of study,   Humanities,,717125,,283590,,433535,
1,Canada,Major field of study,   Social and behavioural sciences and law,,1275100,,449800,,825300,
1,Canada,Major field of study,"   Business, management and public administration",,2801725,,1016410,,1785315,
1,Canada,Major field of study,   Physical and life sciences and technologies,,451960,,245200,,206765,
1,Canada,Major field of study,"   Mathematics, computer and information sciences",,568755,,345700,,223050,
1,Canada,Major field of study,"   Architecture, engineering, and related technologies",,2922080,,2701170,,220910,
1,Canada,Major field of study,"   Agriculture, natural resources and conservation",,291510,,203550,,87960,
1,Canada,Major field of study,"   Health, parks, recreation and fitness",,1728890,,324415,,1404470,
1,Canada,Major field of study,"   Personal, protective and transportation services",,777370,,391005,,386365,
1,Canada,Major field of study,   Other,64,2100,,700,,1405,
1,Canada,Location of study,Total population 15 years and over,65,25664220,,12470785,,13193440,
1,Canada,Location of study,"   No postsecondary certificate, diploma or degree",,12651750,,6037490,,6614260,
1,Canada,Location of study,"   Postsecondary certificate, diploma or degree",,13012475,,6433300,,6579175,
1,Canada,Location of study,      Inside Canada,,10948685,,5363415,,5585270,
1,Canada,Location of study,      Outside Canada,,2063785,,1069880,,993905,
1,Canada,Labour force activity,Total population 15 years and over,66,25664220,,12470785,,13193440,
1,Canada,Labour force activity,   In the labour force,67,17146135,,9020595,,8125540,
1,Canada,Labour force activity,      Employed,68,16021180,,8431530,,7589645,
1,Canada,Labour force activity,      Unemployed,69,1124955,,589065,,535890,
1,Canada,Labour force activity,   Not in the labour force,70,8518085,,3450190,,5067900,
1,Canada,Labour force activity,Participation rate,71,66.8,,72.3,,61.6,
1,Canada,Labour force activity,Employment rate,72,62.4,,67.6,,57.5,
1,Canada,Labour force activity,Unemployment rate,73,6.6,,6.5,,6.6,
1,Canada,Occupation,Total experienced labour force 15 years and over,74,16861180,,8884805,,7976370,
1,Canada,Occupation,   A  Management occupations,75,1631730,,1032940,,598790,
1,Canada,Occupation,"   B  Business, finance and administration occupations",,3025425,,863420,,2162005,
1,Canada,Occupation,   C  Natural and applied sciences and related occupations,,1108045,,865820,,242225,
1,Canada,Occupation,   D  Health occupations,,950360,,188845,,761515,
1,Canada,Occupation,"   E  Occupations in social science, education, government service and religion",,1414320,,451150,,963175,
1,Canada,Occupation,"   F  Occupations in art, culture, recreation and sport",,502195,,225340,,276855,
1,Canada,Occupation,   G  Sales and service occupations,,4037720,,1716470,,2321260,
1,Canada,Occupation,"   H  Trades, transport and equipment operators and related occupations",,2550295,,2374605,,175695,
1,Canada,Occupation,   I  Occupations unique to primary industry,,648310,,503785,,144525,
1,Canada,Occupation,"   J  Occupations unique to processing, manufacturing and utilities",,992765,,662430,,330335,
1,Canada,Industry,Total experienced labour force 15 years and over,76,16861180,,8884805,,7976370,
1,Canada,Industry,   Agriculture and other resource-based industries,,895415,,663985,,231425,
1,Canada,Industry,   Construction,,1069095,,938975,,130120,
1,Canada,Industry,   Manufacturing,,2005980,,1421545,,584440,
1,Canada,Industry,   Wholesale trade,,739305,,494575,,244730,
1,Canada,Industry,   Retail trade,,1917170,,859720,,1057450,
1,Canada,Industry,   Finance and real estate,,992720,,419290,,573435,
1,Canada,Industry,   Health care and social services,,1716255,,308060,,1408200,
1,Canada,Industry,   Educational services,,1150535,,379910,,770625,
1,Canada,Industry,   Business services,,3103195,,1873385,,1229805,
1,Canada,Industry,   Other services,,3271505,,1525360,,1746145,
1,Canada,Unpaid work,Population 15 years and over reporting hours of unpaid work,77,23496920,,11164005,,12332920,
1,Canada,Unpaid work,Population 15 years and over reporting hours of unpaid housework,78,23178395,,10964370,,12214025,
1,Canada,Unpaid work,Population 15 years and over reporting hours looking after children without pay,79,9625655,,4251985,,5373675,
1,Canada,Unpaid work,Population 15 years and over reporting hours of unpaid care or assistance to seniors,80,4724325,,1962040,,2762285,
1,Canada,Language used most often at work,Total population 15 years and over who worked since 2005,81,18418100,,9599250,,8818855,
1,Canada,Language used most often at work,   English,,14064105,,7347505,,6716595,
1,Canada,Language used most often at work,   French,,3724975,,1930405,,1794565,
1,Canada,Language used most often at work,   Non-official language,,273830,,139825,,134005,
1,Canada,Language used most often at work,   English and French,,252295,,128825,,123475,
1,Canada,Language used most often at work,   English and non-official language,,86820,,44210,,42610,
1,Canada,Language used most often at work,   French and non-official language,,5055,,2545,,2510,
1,Canada,Language used most often at work,"   English, French and non-official language",,11025,,5930,,5090,
1,Canada,Place of work status,Total employed labour force 15 years and over,82,16021180,,8431530,,7589645,
1,Canada,Place of work status,   Worked at home,,1230355,,623290,,607060,
1,Canada,Place of work status,   Worked outside Canada,,76570,,52480,,24095,
1,Canada,Place of work status,   No fixed workplace address,,1644360,,1260935,,383425,
1,Canada,Place of work status,   Worked at usual place,,13069895,,6494825,,6575070,
1,Canada,Place of work status,      Worked in census subdivision (municipality) of residence,,7814510,,3674205,,4140305,
1,Canada,Place of work status,      Worked in a different census subdivision (municipality) within the census division (county) of residence,,2687845,,1365350,,1322490,
1,Canada,Place of work status,      Worked in a different census division (county),,2420290,,1371555,,1048735,
1,Canada,Place of work status,      Worked in a different province,,147250,,83720,,63530,
1,Canada,Mode of transportation to work,Total employed labour force 15 years and over with a usual place of work or no fixed workplace address,83,14714260,,7755765,,6958490,
1,Canada,Mode of transportation to work,"   Car, truck, van, as driver",,10644330,,5961465,,4682860,
1,Canada,Mode of transportation to work,"   Car, truck, van, as passenger",,1133145,,468575,,664575,
1,Canada,Mode of transportation to work,   Public transit,,1622725,,670350,,952375,
1,Canada,Mode of transportation to work,   Walked or bicycled,,1134805,,552405,,582395,
1,Canada,Mode of transportation to work,   All other modes,,179250,,102965,,76285,
1,Canada,Visible minority population characteristics,Total population,84,31241030,,15326265,,15914760,
1,Canada,Visible minority population characteristics,   Total visible minority population,85,5068095,,2464025,,2604065,
1,Canada,Visible minority population characteristics,      Chinese,,1216565,,584260,,632305,
1,Canada,Visible minority population characteristics,      South Asian,86,1262865,,637190,,625675,
1,Canada,Visible minority population characteristics,      Black,,783795,,375685,,408110,
1,Canada,Visible minority population characteristics,      Filipino,,410695,,175640,,235055,
1,Canada,Visible minority population characteristics,      Latin American,,304245,,147900,,156345,
1,Canada,Visible minority population characteristics,      Southeast Asian,87,239935,,116425,,123510,
1,Canada,Visible minority population characteristics,      Arab,,265550,,142580,,122970,
1,Canada,Visible minority population characteristics,      West Asian,88,156700,,80695,,76000,
1,Canada,Visible minority population characteristics,      Korean,,141890,,68595,,73300,
1,Canada,Visible minority population characteristics,      Japanese,,81300,,36160,,45145,
1,Canada,Visible minority population characteristics,"      Visible minority, n.i.e.",89,71420,,33845,,37580,
1,Canada,Visible minority population characteristics,      Multiple visible minority,90,133120,,65055,,68065,
1,Canada,Visible minority population characteristics,   Not a visible minority,91,26172935,,12862245,,13310695,
1,Canada,Earnings in 2005,Persons 15 years and over with earnings (counts),92,18201265,,9480550,,8720710,
1,Canada,Earnings in 2005,   Median earnings - Persons 15 years and over ($),93,26850,,32874,,21543,
1,Canada,Earnings in 2005,"      Persons 15 years and over with earnings who worked full year, full time (counts)",94,9275770,,5332040,,3943725,
1,Canada,Earnings in 2005,"         Median earnings - Persons 15 years and over who worked full year, full time ($)",93,41401,,46778,,35830,
1,Canada,Income in 2005,Persons 15 years and over with income (counts),95,24423165,,11952155,,12471005,
1,Canada,Income in 2005,   Median income - Persons 15 years and over ($),96,25615,,32224,,20460,
1,Canada,Income in 2005,   Median income after tax - Persons 15 years and over ($),96,23307,,28291,,19287,
1,Canada,Income in 2005,   Composition of total income (100%),97,100,,100,,100,
1,Canada,Income in 2005,      Earnings - As a % of total income,,76.2,,79.7,,71,
1,Canada,Income in 2005,      Government transfers - As a % of total income,,11.1,,7.9,,15.9,
1,Canada,Income in 2005,      Other money - As a % of total income,,12.7,,12.5,,13.1,
1,Canada,Income in 2005,   Income status of all persons in private households (counts),98,30628935,,15017885,,15611050,
1,Canada,Income in 2005,      % in low income before tax - All persons,,15.3,,14.1,,16.5,
1,Canada,Income in 2005,      % in low income after tax - All persons,,11.4,,10.7,,12,
1,Canada,Income in 2005,      % in low income before tax - Persons less than 18 years of age,,17.7,,17.7,,17.8,
1,Canada,Income in 2005,      % in low income after tax - Persons less than 18 years of age,,13.1,,13.1,,13.2,
10,Newfoundland and Labrador,Population and dwelling counts,Population in 2006,1,505469,,,,,
10,Newfoundland and Labrador,Population and dwelling counts,Population in 2001,1,512930,,,,,
10,Newfoundland and Labrador,Population and dwelling counts,2001 to 2006 population change (%),,-1.5,,,,,
10,Newfoundland and Labrador,Population and dwelling counts,Total private dwellings,2,235958,,,,,
10,Newfoundland and Labrador,Population and dwelling counts,Private dwellings occupied by usual residents,3,197245,,,,,
10,Newfoundland and Labrador,Population and dwelling counts,Population density per square kilometre,,1.4,,,,,
10,Newfoundland and Labrador,Population and dwelling counts,Land area (square km),,370494.892,,,,,
10,Newfoundland and Labrador,Age characteristics,Total population,4,505470,,245735,,259735,
10,Newfoundland and Labrador,Age characteristics,   0 to 4 years,,22865,,11650,,11210,
10,Newfoundland and Labrador,Age characteristics,   5 to 9 years,,25905,,13240,,12670,
10,Newfoundland and Labrador,Age characteristics,   10 to 14 years,,29455,,15135,,14320,
10,Newfoundland and Labrador,Age characteristics,   15 to 19 years,,34105,,17355,,16750,
10,Newfoundland and Labrador,Age characteristics,   20 to 24 years,,31190,,15295,,15890,
10,Newfoundland and Labrador,Age characteristics,   25 to 29 years,,27425,,13040,,14380,
10,Newfoundland and Labrador,Age characteristics,   30 to 34 years,,30940,,14605,,16340,
10,Newfoundland and Labrador,Age characteristics,   35 to 39 years,,36535,,17345,,19195,
10,Newfoundland and Labrador,Age characteristics,   40 to 44 years,,41670,,20080,,21585,
10,Newfoundland and Labrador,Age characteristics,   45 to 49 years,,42770,,20815,,21955,
10,Newfoundland and Labrador,Age characteristics,   50 to 54 years,,42805,,21135,,21670,
10,Newfoundland and Labrador,Age characteristics,   55 to 59 years,,39370,,19535,,19835,
10,Newfoundland and Labrador,Age characteristics,   60 to 64 years,,30160,,14900,,15270,
10,Newfoundland and Labrador,Age characteristics,   65 to 69 years,,22160,,11005,,11155,
10,Newfoundland and Labrador,Age characteristics,   70 to 74 years,,17530,,8465,,9060,
10,Newfoundland and Labrador,Age characteristics,   75 to 79 years,,13505,,5965,,7540,
10,Newfoundland and Labrador,Age characteristics,   80 to 84 years,,9425,,3845,,5580,
10,Newfoundland and Labrador,Age characteristics,   85 years and over,,7650,,2325,,5330,
10,Newfoundland and Labrador,Age characteristics,Median age of the population,5,41.7,,41.3,,42.1,
10,Newfoundland and Labrador,Age characteristics,% of the population aged 15 and over,,84.5,,83.7,,85.3,
10,Newfoundland and Labrador,Common-law status characteristics,Total population 15 years and over,6,427245,,205705,,221540,
10,Newfoundland and Labrador,Common-law status characteristics,   Not in a common-law relationship,,394155,,189215,,204940,
10,Newfoundland and Labrador,Common-law status characteristics,   In a common-law relationship,,33085,,16490,,16595,
10,Newfoundland and Labrador,Legal marital status characteristics,Total population 15 years and over,7,427245,,205705,,221540,
10,Newfoundland and Labrador,Legal marital status characteristics,   Never legally married (single),8,132005,,68865,,63140,
10,Newfoundland and Labrador,Legal marital status characteristics,   Legally married (and not separated),9,231820,,115860,,115960,
10,Newfoundland and Labrador,Legal marital status characteristics,"   Separated, but still legally married",10,9745,,4360,,5385,
10,Newfoundland and Labrador,Legal marital status characteristics,   Divorced,11,24015,,10900,,13120,
10,Newfoundland and Labrador,Legal marital status characteristics,   Widowed,12,29650,,5715,,23935,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,Total private dwellings occupied by usual residents,13,197185,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,   Single-detached houses - as a % of total occupied private dwellings,,73.8,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,   Semi-detached houses - as a % of total occupied private dwellings,,4.3,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,   Row houses - as a % of total occupied private dwellings,,4.9,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,"   Apartments, duplex - as a % of total occupied private dwellings",14,9.9,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,   Apartments in buildings with fewer than five storeys - as a % of total occupied private dwellings,14,5.5,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,   Apartments in buildings with five or more storeys - as a % of total occupied private dwellings,,0.4,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,   Other dwellings - as a % of total occupied private dwellings,15,1.2,,,,,
10,Newfoundland and Labrador,Occupied private dwelling characteristics,Number of owned dwellings,16,155195,,,,,
